series,file,title,version,drive_id,bytes,url
dba-en,DBA-EN_Series_Introduction.pdf,DBA-EN Series Introduction,v0.1,1W9OlluogFWIyjuoMFCDHDFoCsWFjQizX,243950,https://scubanuke.github.io/publications/dba-en/DBA-EN_Series_Introduction.pdf
dba-en,DBA-EN-SF_Energy_Sector_Framework.pdf,DBA-EN-SF: Energy Sector Framework,v0.3,1n8lexGm6Im7m2KO2YlshmEWcYXHEphGP,274276,https://scubanuke.github.io/publications/dba-en/DBA-EN-SF_Energy_Sector_Framework.pdf
dba-en,DBA-ES_Sector_Framework.pdf,DBA-ES Sector Framework,v0.8,1aG_b1OK-KVnpzvqgjRyxVscvy_pjqAKV,306671,https://scubanuke.github.io/publications/dba-en/DBA-ES_Sector_Framework.pdf
dba-en,DBA-ES-HY-FC1_Hydroelectric_Storage.pdf,DBA-ES-HY-FC1: Large Hydroelectric Storage,v0.4,1lZ6cW8IswgR26gNn2nGw4Mw3MlEYdDNh,359105,https://scubanuke.github.io/publications/dba-en/DBA-ES-HY-FC1_Hydroelectric_Storage.pdf
dba-en,DBA-ES-TX-FC2_EHV_Substation.pdf,DBA-ES-TX-FC2: EHV Transmission Substation,v0.1,1qhl49bJMPZOOERGvlbnRpDaTXprQCTwa,266339,https://scubanuke.github.io/publications/dba-en/DBA-ES-TX-FC2_EHV_Substation.pdf
dba-en,DBA-ES-TX-FC3_HVDC_Interconnect.pdf,DBA-ES-TX-FC3: HVDC Interconnect,v0.1,1LE8u-fFlCDJSJYm5mKHRoak9ypuyO5Ah,261504,https://scubanuke.github.io/publications/dba-en/DBA-ES-TX-FC3_HVDC_Interconnect.pdf
dba-en,DBA-ES-GC-FC4_Compressor_Station.pdf,DBA-ES-GC-FC4: Gas-Electric Cascade Compressor Station,v0.2,1QoL4hYdgVePfVrWjngPC_S1vSHHCPnB1,264202,https://scubanuke.github.io/publications/dba-en/DBA-ES-GC-FC4_Compressor_Station.pdf
dba-en,DBA-ES-DI-FC5_Distribution_Edge_Generation.pdf,DBA-ES-DI-FC5: Distribution Substation with Edge Generation,v0.1 DB layer only,1NZreyGDVZBuWZnlkdFr7aLxwCckn1IZV,232508,https://scubanuke.github.io/publications/dba-en/DBA-ES-DI-FC5_Distribution_Edge_Generation.pdf
dba-en,DBA-ES-CntlCo_Control_Company.pdf,DBA-ES-CntlCo: Control-Company Functional Class,v0.1 DB layer only,1l6B8VAeqPITD_UhPuQO0ApixmTlmfcwO,219373,https://scubanuke.github.io/publications/dba-en/DBA-ES-CntlCo_Control_Company.pdf
dba-en,DBA-ES-GN-FC6_Coal_Generation.pdf,DBA-ES-GN-FC6: Coal-Fired Generation,v0.1,1CPdrBhJj-ufWYhdEqStOj3D8erHzN2xO,250214,https://scubanuke.github.io/publications/dba-en/DBA-ES-GN-FC6_Coal_Generation.pdf
dba-en,DBA-ES-GN-FC7_Oil_Fired_Generation.pdf,DBA-ES-GN-FC7: Oil-Fired Generation and Peakers,v0.1,1xLjgseOUn8I30iIsn2NohzbDIV1EQtQf,254927,https://scubanuke.github.io/publications/dba-en/DBA-ES-GN-FC7_Oil_Fired_Generation.pdf
dba-en,DBA-ES-GN-FC8_Renewable_Generation_BESS.pdf,DBA-ES-GN-FC8: Renewable Generation and BESS,v0.1,1NgUt7SIB7jjfRpcC832tzE_k1POJ9Naj,262594,https://scubanuke.github.io/publications/dba-en/DBA-ES-GN-FC8_Renewable_Generation_BESS.pdf
